h_tot_m [mm],PT8_w_m [°C],PT6_m [°C],PT5_m [°C],PT4_m [°C],PT3_m [°C],PT3_m [°C],PT1_c_m [°C],time_h_m [h]
1.646115172,11.66063,7.599577,5.180982,2.549951,-0.5940837,-0.5940837,-7.88628,6.1
1.655936172,11.68296,7.590496,5.176945,2.545557,-0.5839925,-0.5839925,-7.872608,6.133333333
1.666845672,11.6214,7.546598,5.129517,2.484522,-0.6311687,-0.6311687,-7.910206,6.166666667
1.672840172,11.58936,7.502954,5.087614,2.461328,-0.6490805,-0.6490805,-7.910694,6.2
1.681217172,11.54446,7.464104,5.070459,2.424707,-0.6851563,-0.6851563,-7.943409,6.233333333
1.691174672,11.55001,7.493872,5.081201,2.4396,-0.6609375,-0.6609375,-7.890675,6.266666667
1.699520172,11.52074,7.436353,5.029199,2.40249,-0.6937338,-0.6937338,-7.923389,6.3
1.708512172,11.50258,7.42992,5.022607,2.38418,-0.7101319,-0.7101319,-7.926563,6.333333333
1.718603172,11.47407,7.371013,4.991235,2.359277,-0.7421713,-0.7421713,-7.930591,6.366666667
1.725749172,11.46121,7.34856,4.965967,2.344141,-0.7598308,-0.7598308,-7.927296,6.4
1.731798172,11.43219,7.341244,4.956689,2.335596,-0.7800131,-0.7800131,-7.923634,6.433333333
1.737304672,11.37543,7.263542,4.896631,2.278223,-0.8251709,-0.8251709,-7.964893,6.466666667
1.742711672,11.4105,7.297348,4.90835,2.313379,-0.7903565,-0.7903565,-7.923878,6.5
1.748377672,11.35777,7.255974,4.890771,2.265039,-0.8350098,-0.8350098,-7.950001,6.533333333
1.753127172,11.32977,7.201734,4.844629,2.238428,-0.8486329,-0.8486329,-7.959522,6.566666667
1.758633672,11.30505,7.193787,4.831689,2.20791,-0.8751221,-0.8751221,-7.969044,6.6
1.767274672,11.29041,7.180038,4.819116,2.195215,-0.894043,-0.894043,-7.94524,6.633333333
1.776326172,11.26783,7.155315,4.801172,2.185938,-0.9023682,-0.9023682,-7.973438,6.666666667
1.786621172,11.2223,7.11167,4.748193,2.13833,-0.9505534,-0.9505534,-7.992725,6.7
1.796013172,11.20842,7.094263,4.737695,2.156885,-0.9545898,-0.9545898,-7.986621,6.733333333
1.804129672,11.17285,7.050367,4.706445,2.107813,-0.9904135,-0.9904135,-7.997608,6.766666667
1.812283172,11.15444,7.048853,4.691797,2.096843,-0.9901612,-0.9901612,-7.99297,6.8
1.822866672,11.15721,7.045826,4.678369,2.079187,-0.9810792,-0.9810792,-7.981007,6.833333333
1.833636672,11.11735,6.998901,4.647607,2.04967,-1.038599,-1.038599,-8.009815,6.866666667
1.842101172,11.07068,6.973926,4.632959,2.034155,-1.057267,-1.057267,-8.018481,6.9
1.851374672,11.03549,6.936337,4.576318,1.98597,-1.095614,-1.095614,-8.046679,6.933333333
1.859978672,11.02413,6.919434,4.562402,1.98042,-1.103182,-1.103182,-8.050342,6.966666667
1.869201672,11.0341,6.913631,4.599023,1.976131,-1.080981,-1.080981,-8.009082,7
1.876740172,10.9675,6.862167,4.517236,1.93829,-1.128914,-1.128914,-8.059131,7.033333333
1.883614672,10.96043,6.850309,4.499902,1.924667,-1.136231,-1.136231,-8.048633,7.066666667
1.888171172,10.96926,6.845012,4.507959,1.916089,-1.143799,-1.143799,-8.046924,7.1
1.893726172,10.92158,6.814233,4.461572,1.889978,-1.171297,-1.171297,-8.053515,7.133333333
1.900607172,10.88425,6.760877,4.45083,1.840153,-1.194507,-1.194507,-8.075976,7.166666667
1.905912672,10.8517,6.748894,4.404199,1.82325,-1.217969,-1.217969,-8.092456,7.2
1.914846672,10.82433,6.725936,4.375635,1.789697,-1.238656,-1.238656,-8.108935,7.233333333
1.923143672,10.83656,6.714836,4.385156,1.7955,-1.250513,-1.250513,-8.096972,7.266666667
1.930198672,10.79797,6.683554,4.350976,1.771786,-1.271452,-1.271452,-8.088916,7.3
1.937872172,10.76391,6.654541,4.332666,1.758162,-1.271957,-1.271957,-8.096728,7.333333333
1.948151672,10.75331,6.640666,4.313623,1.731169,-1.295923,-1.295923,-8.110888,7.366666667
1.959100672,10.73919,6.625529,4.310693,1.730664,-1.307654,-1.307654,-8.088672,7.4
1.969997172,10.72228,6.607239,4.280908,1.696102,-1.325692,-1.325692,-8.111621,7.433333333
1.979882172,10.71371,6.601563,4.281396,1.713509,-1.312069,-1.312069,-8.101245,7.466666667
1.988515172,10.6688,6.564226,4.23977,1.688029,-1.333008,-1.333008,-8.10625,7.5
1.998774672,10.62465,6.547827,4.209619,1.652205,-1.400619,-1.400619,-8.142138,7.533333333
2.009594672,10.65644,6.54253,4.247217,1.662549,-1.362777,-1.362777,-8.107471,7.566666667
2.020062172,10.62036,6.509481,4.195947,1.63606,-1.379175,-1.379175,-8.127978,7.6
2.028313672,10.55982,6.454989,4.138818,1.581063,-1.430892,-1.430892,-8.145801,7.633333333
2.033791172,10.58353,6.479208,4.156885,1.618652,-1.442371,-1.442371,-8.112597,7.666666667
2.039963672,10.57394,6.455493,4.157373,1.583459,-1.42509,-1.42509,-8.120898,7.7
2.045666672,10.52803,6.399235,4.112939,1.540446,-1.481852,-1.481852,-8.170459,7.733333333
2.050924172,10.5308,6.411093,4.108301,1.558358,-1.451326,-1.451326,-8.114795,7.766666667
2.055820172,10.51365,6.402263,4.08291,1.535148,-1.477059,-1.477059,-8.126758,7.8
2.061402172,10.47328,6.363411,4.060937,1.5132,-1.507332,-1.507332,-8.142871,7.833333333
